Job Title,Company Name,Location,Publishing Date,Job Type,Skills,Job Requirements
Backend Developer (Python),Dafater -,"Heliopolis, Cairo, Egypt ",Posted 29 days ago,Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · HTML · Information Technology (IT) · CSS · Git · jQuery · MySQL · PHP,"Basic knowledge in building  websites using HTML, CSS, and JavaScriptBasic knowledge with modern web frameworks and/or libraries such as jQuery, Bootstrap, etc.To be Good experience in building web applications with any open source common web technologies (Python, Node.JS, PHP, Ruby) - Python is preferred.Good SQL Skills and specifically Familiar with MySQL and open source Database providersYou are great at solving problems, debugging, troubleshooting, designing and implementing solutions to complex technical issues. understand object-oriented programming principles using the Linux command lineYou have a working knowledge of source control software such as Git (preferred) or SVNYou thrive on collaboration, working side by side with people of all backgrounds and disciplines.An understand of RESTful interfacesYou are highly motivated and have a passion for creating and supporting great products.Ability to multi-task and manage tasks with varying prioritiesAbility to work independently with minimal supervision"
,,,,,,
Senior Python Developer,Andela -,"Cairo, Egypt ",Posted 1 month ago,Full TimeFreelance / ProjectWork From Home,Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python,"A minimum of 2+ years of professional experience, during which you’ve built technical expertise and professionalism.Responsibilities:Design, scope, and implement technical solutions that scale across multiple web applicationsCollaboratively define and prioritize projects and tasksDrive thoughtful conversations around technical issues and opportunitiesReview code and provide thoughtful, constructive feedback for your team and the communityTriage, reproduce and debug technical support requests, bugs, and feature requests reported by users in our Issues on our website.Provide compassionate technical leadership, mentorship, pairing opportunities, and code reviews to encourage the growth of othersQualifications:Strong written communication skills2+ years experience as a full-time professional coder using Python.Experience team leading/management.Experience working asynchronously on a remote, distributed team (does not have to be a professional experience - preferable)Ability to draw on both system design and software engineering concepts and blend those perspectives pragmatically based on project needsExperience building highly available services at scale"
,,,,,,
Senior Backend Engineer (Python) - Remote,Meddy -,"Cairo, Egypt ",Posted 1 month ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · AWS · Git,"Who you areYou have a minimum of 4+ years of industry experience developing applications in Python.You have developed and deployed Python applications to production.You have a good grasp of DevOps processes.You have an excellent ability to understand and apply software design patterns.You are fluent in English. Arabic would be a plus.You can communicate very clearly to technical and non-technical team members.What you must knowPythonDjangoGitIt’s a plus if you knowElasticSearchRedisCeleryAWS: EC2, RDS, ELBSQLApply through this link: https://heliumdoc.recruitee.com/o/senior-backend-engineer-python-remote"
,,,,,,
Senior Python Developer,Optiveum Sp. z o.o. -,"Berlin, Germany ",Posted 1 month ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software · fast API · Kubernetes · PostgreSQL · Programming · Software Development · CI/CD,"Key competencesThis role is about strong Python skills and asynchronous programming.Project management and knowledge: JIRA/Confluence and Notion;Communication: Slack, Zoom;Technical stack: Python 3.9 (FastAPI) , PostgreSQL, RabbitMQ, Kubernetes, Redis, MongoDB;Code collaboration: GitLab, GitLab-CI;You have 3+ years of experience in software developmentYou have good knowledge of Python 3+ and are willing to learn more and is are a fast learner;You have a good knowledge about CI/CD processes; You worked with GitLab or have a needed skill set to learn it fast;You worked with Docker"
,,,,,,
Backend Developer (Python),Estafsar -,"Downtown, Cairo, Egypt ",Posted 1 month ago,Full Time,Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Django · Python · Git,Experience with PythonExperience with designing and implementing RESTful APIsExperience with GIT and preferably githubStrong understanding of unit testingFamiliarity with cloud infrastructure is a plusExperience with Django is a plus
,,,,,,
Django/Python Back End Developer,Confidential -,"Cairo, Egypt ",Posted 1 month ago,Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django Framework · Django · Back-End Development · Software Engineering · Software Development · SQL · Python · python development,"Qualifications: Education: Bachelors or Master s degree in Computer Science, Information Technology, Computer engineering or a related field Experience: 3 to 6 years Python Developer with good knowledge on Django framework Good knowledge of databases and writing SQL queries. Knowledge of Postgres is a plus Familiarity with architecture styles/APIs (REST, API, MVC) Experience in front end technologies like React / Angular Good knowledge of Robot framework for automated testing and DevOps (Jenkins) will be beneficial. Basic understanding of Advertising domain is desirable Experience in product based development would be a plus Excellent troubleshooting and communication skillsSelf-starter and should be able to work with minimal supervision Good understanding of Agile Scrum methodology, testing practices, and tools and knowing when to apply each method to achieve the desired outcomes. Open to learning and can pick up new technologies by reading documentation & tutorials Q"
,,,,,,
